内容,时间,分词,情感分值,情感类型
仅根据自己的兴趣决定,2022-10-05 17:55,兴趣,0.1891,neg
🐭🐭一个也没加,2022-10-05 18:06,没加,0.3432,neg
右手扎的针，不方便呀！,2012-12-17 20:50,右手,0.4367,pos
我一个人在校医院输液。。。,2012-12-17 20:51,在校 医院 输液,0.1521,neg
QQ挂着也没人理我…,2012-12-17 20:52,人理,0.2939,neg
唉…单机版，我就想问问我右手能扣手机不。。。,2012-12-17 20:54,单机版 问问 右手 能扣 手机,0.0839,neg
不能，会滚针的，到时候你就惨了，要重新扎,2012-12-17 20:55,滚针 到时候,0.723,pos
我的帖子哪儿去了？不妙，手开始疼了。。。,2012-12-17 20:56,帖子 不妙,0.0574,neg
您现在使用脚么？求解,2012-12-17 20:56,求解,0.1711,neg
我来看看，不能,2012-12-17 20:56,我来,0.7326,pos
能用 只要不是太剧烈就行,2012-12-17 23:06,剧烈 就行,0.5331,pos
分享贴子,2023-02-18 00:23,分享 贴子,0.8336,pos
开个学渣贴，各种重修问题都可以来问我，有问必答，现在比较忙，肯定都会回复，精通补考重修,2020-05-28 13:34,开个 学渣 重修 有问必答 比较忙 肯定 回复 精通 补考 重修,0.8176,pos
你好，可以私聊吗,2020-05-28 17:02,你好 私聊,0.9677,pos
你这里有期末考试题吗,2020-05-29 09:55,期末考试,0.7536,pos
大一下学期挂了，大二上学期重修没报上，接下来重修什么时候呢,2020-08-14 09:43,学期 大二 学期 重修 报上 重修,0.8936,pos
重修班是怎么搞的呀，我报的好像只有是跟班重修，这俩有什么区别吗，跟班重修最后学分还算吗,2020-09-05 00:43,重修 我报 好像 跟班 重修 这俩 区别 跟班 重修 学分 还算,0.9822,pos
如果重修课程准备考试了  这时候点退费  会扣掉一次重修次数吗,2020-09-06 21:12,重修 课程 考试 这时候 退费 扣掉 重修 次数,0.7982,pos
跟班重修需要交作业什么的吗 有平时分嘛,2020-09-06 21:22,跟班 重修 作业 平时 分嘛,0.8067,pos
大四了，绩点太低啦重修学分有次数和学分限制吗？,2020-09-07 12:54,大四 绩点 太低 重修 学分 次数 学分,0.2383,neg
重修没过，可以跟着低年级参加补考吗,2020-09-07 20:28,重修 跟着 低年级 参加 补考,0.9043,pos
跟班重修没有平时分，那么是不是试卷考多少，重修成绩就为多少？,2020-09-08 19:49,跟班 重修 平时 试卷 重修 成绩,0.987,pos
请问我本来已经过60了，但是不想考不去了，他会改我成绩吗,2020-09-10 08:55,请问 本来 不想 考不去 他会 成绩,0.1094,neg
挂科了补考过了还算挂科吗?影响大吗,2020-09-10 12:54,挂科 补考 挂科 影响,0.0656,neg
精通补考重修可还行，收藏了先，说不定过几天成绩出来了就得来问了,2020-09-12 10:22,精通 补考 重修 还行 收藏 说不定 几天 成绩 得来,0.9517,pos
留级是强制的吗,2020-09-14 11:23,留级 强制,0.1231,neg
要是刷绩点的话，具体怎么操作,2020-09-14 18:39,刷绩 操作,0.7106,pos
招兼职 每日更新朋友圈,2020-09-14 23:29,兼职 每日 更新 朋友圈,0.3066,neg
国际学院外方课如果挂了有什么影响吗，例如对保研，等等,2020-09-15 20:30,国际 学院 外方 影响 保研,0.0741,neg
请问补考是大概什么时候呢？不保研的话挂科影响大吗？,2020-09-15 22:59,请问 补考 不保研 挂科 影响,0.0258,neg
【郑州寻猫】【求转发扩散】陪伴12年的猫不见了，希望大家可以帮帮忙猫咪为乳黄色长毛加菲猫，名叫拉菲，喊名字有反应，12岁，毛色乳黄无花纹，患慢性肾病，需要每天补液和吃降磷药，因刚搬至新家由于应激从家里跑走，丢失地点：金水区经三路农科路金城国际广场。而后出现在二七区沿河路北闸口宠物市场。猫咪叫拉菲，喊他一定有反应，12年相伴，猫咪从小与我一同长大，失去他的后果我真的承受不了，请求各位帮忙扩散！如您担心可选择通过第三方联系我，我愿赔偿一切损失附加酬金10000元，也可用一只品相更好的幼猫交换。联系：15639703919（同微信）提供有效线索有重谢，帮忙转发可加我领红包，猫咪图片在我主页上，拜托了！！,2020-09-16 23:24,郑州 寻猫 转发 扩散 陪伴 不见 希望 帮帮忙 猫咪 乳黄色 长毛 加菲猫 名叫 拉菲 名字 毛色 乳黄 花纹 慢性 肾病 补液 磷药 因刚 新家 应激 家里 丢失 地点 金水区 经三路 农科 金城 国际 广场 二七区 沿河路 闸口 宠物市场 猫咪 拉菲 相伴 猫咪 一同 长大 后果 真的 承受 请求 帮忙 扩散 担心 选择 第三方 我愿 赔偿 损失 附加 酬金 可用 一只 品相 更好 幼猫 交换 同微信 提供 线索 重谢 帮忙 转发 可加 我领 红包 猫咪 图片 主页 拜托,0.9943,pos
学位重修刷绩点能重修没挂过的科目吗,2020-09-17 01:56,学位 重修 刷绩 重修 没挂 科目,0.6077,pos
老哥，挂过的科目补考过了之后重修，分数只能是60分，还是考多少算多少,2020-09-17 08:42,老哥 科目 补考 重修 分数 只能,0.0799,neg
请问不及格学分35要退学吗 这个学分重修补考过了也算在里面的吗,2020-09-17 10:45,请问 不及格 学分 退学 学分 重修 补考 算在里面,0.0243,neg
挂科二十五学分留级，补考过了也算吗,2020-09-18 20:20,挂科 二十五 学分 留级 补考,0.3842,pos
毕业证挂多少学分就没有了,2020-09-18 20:20,毕业证 学分,0.1287,neg
请问一下，大一上挂的，补考没过，大二重修的，重修班和跟班重修都能选还是只能选跟班重修,2020-09-18 20:35,请问 大一上 补考 大二 重修 重修 跟班 重修 只能 跟班 重修,0.9338,pos
还有就是是都要交费吗,2020-09-18 20:35,交费,0.4528,pos
很多人问的问题都回答了，可以先把帖子看一遍再来问我,2020-09-18 20:59,人问 回答 帖子 看一遍 再来,0.9091,pos
那超过70分的科目有什么办法刷分吗？重修,2020-09-19 17:08,超过 科目 办法 刷分 重修,0.7881,pos
现在的新学期的补考在什么时候进行？重修的考试是在期末跟本学期的科目一起安排吗？,2020-09-19 22:44,新学期 补考 重修 考试 期末 本学期 科目 安排,0.8939,pos
问问，C语言可以这学期重修吗,2020-09-20 12:26,问问 学期 重修,0.6994,pos
补考过了或者重修过了的科目二次重修，如果挂了算挂了还是按原来的成绩，谢谢楼主,2020-09-21 02:18,补考 重修 科目 二次 重修 成绩 谢谢 楼主,0.9946,pos
请问跟班重修的课是可去可不去嘛,2020-09-21 09:47,请问 跟班 重修 可不,0.4272,pos
你好，如果曾经不及格学分超过了限制是不是拿不到学位证了，如果这样我该怎么办,2020-09-21 11:02,你好 不及格 学分 超过 不到 学位证 我该,0.0234,neg
有认识二战的同志么,2020-09-21 12:12,二战 同志,0.4671,pos
挂科记录一直在吗？重修了也无法消除是吗？,2020-09-21 12:43,挂科 记录 重修 消除,0.9488,pos
会有那个什么挂科学分超过多少，就强制让你留级吗,2020-09-21 18:28,科学 超过 强制 留级,0.1129,neg
老哥 重修成绩在哪里查啊，教务系统里面只有以前学期的那一科的补考成绩，会覆盖到上面吗？还有重修挂了可以再补考吗？还是只能再一次报名重修？,2020-09-21 19:48,老哥 重修 成绩 教务 系统 学期 那一科 补考 成绩 覆盖 重修 补考 只能 报名 重修,0.9683,pos
大一下学期挂科超过十五分，补考过了的话会强制留级吗，急，谢谢,2020-09-21 21:28,学期 挂科 超过 十五分 补考 强制 留级 谢谢,0.33,neg
是不是没有清考这种东西了？大四下重修的话会影响毕业吗？,2020-09-22 01:01,清考 东西 四下 重修 影响 毕业,0.4644,pos
下学期有门科目重修没过，明年再重修，会在8月份才能拿双证吗？已不及格学分39分，绩点2.05,2020-09-22 07:47,下学期 有门 科目 重修 明年 重修 月份 双证 不及格 学分 绩点,0.7739,pos
有要考研的学渣么,2020-09-22 08:45,有要 考研 学渣,0.5592,pos
咱们学校保研认可重修刷分之后的成绩吗，还是按照最初的成绩排名,2020-09-23 17:42,学校 保研 认可 重修 刷分 成绩 最初 成绩排名,0.9934,pos
楼主，现在重修好想有3次限制次数，那如果报名审核通过但是没有缴费算不算一次呢？,2020-09-23 20:02,楼主 重修 次数 报名 审核 缴费 算不算,0.874,pos
重修刷绩点保研有用吗,2020-09-24 10:33,重修 刷绩 保研 有用吗,0.4496,pos
这学期啥时候补考，现在都没补考通知,2020-09-24 17:00,学期 啥时候 补考 补考 通知,0.1732,neg
重修班和跟班重修是上下学期都有的吗？,2020-09-26 10:54,重修 跟班 重修 下学期,0.9857,pos
专升本分数线多少,2020-09-26 23:23,专升本 分数线,0.5537,pos
我大一补考旷考，现在大五了，那科报不上，有个老师说是因为你旷考了，是这样吗，我辅导员说这个科都没有显示是因为课程转换的问题，我心里七上八下的，求楼主解惑谢谢🙏🏻！,2020-09-29 20:23,我大一 补考 旷考 大五 那科报 有个 老师 是因为 旷考 辅导员 科都 显示 是因为 课程 转换 七上八下 楼主 解惑 谢谢,0.9528,pos
谁有大二这次补考的卷子啊,2020-09-30 07:32,大二 补考 卷子,0.652,pos
跟班重修跟自己的课有冲突怎么办？能不去上吗？之前问老师，老师说那只能放弃重修……可是我们每年课都好多,2020-09-30 13:04,跟班 重修 课有 冲突 老师 老师 只能 放弃 重修 好多,0.9019,pos
交论文交图纸那种水课挂了，重修是什么形式,2020-10-04 10:23,论文 图纸 那种 水课 重修 形式,0.8454,pos
留级后已经修过了的课还要再修一次吗,2020-10-09 09:37,留级 修过 再修,0.2371,neg
曾经不及格学分会影响毕业和学位证吗？都补考过了,2020-10-09 10:14,不及格 学分 影响 毕业 学位证 补考,0.0414,neg
请问下院任选修课，挂了，会记上打印成绩单吗,2020-10-09 13:06,请问 下院 选修课 会记 打印 成绩单,0.7913,pos
大三下重修没过，什么时候可以重修啊，毕业证什么时候可以拿,2020-10-09 13:52,三下 重修 重修 毕业证,0.6845,pos
跟班重修会有平时分吗?就是作业和上课表现的分数,2020-10-10 10:57,跟班 重修 平时 作业 上课 表现 分数,0.5572,pos
三心起的淘宝号谁有啊？收一个,2020-10-11 23:30,三心 淘宝,0.8864,pos
各位同学。 请问下现在周末可以带着家人去校园逛逛吗,2023-02-17 23:27,同学 请问 周末 家人 校园 逛逛,0.9262,pos
24/25届预备役考研军，考研小白，求机械电子工程专业的整套资料，用过的也行，有书也行，邮费我出。电子版的真题也可以，有偿有偿,2023-02-16 20:31,预备役 考研 考研 小白 机械 电子 工程 专业 整套 资料 用过 有书 邮费 我出 电子版 真题 有偿 有偿,0.9633,pos
考研租房的来,2023-02-17 08:52,考研 租房,0.3017,neg
qq吧，我的是1840883415，也可以私我我加你,2023-02-17 14:11,我加,0.6187,pos
有了有了，谢谢大家的帮助,2023-02-17 18:54,谢谢,0.9327,pos
感谢感谢，明年见,2023-02-17 18:55,感谢 感谢 明年,0.9947,pos
医学科硕，下周考试，求经验求题，谢谢各位~,2023-02-17 16:33,医学科 下周 考试 经验 求题 谢谢,0.9708,pos
大学生平常赚点零花钱也可以,2023-02-17 16:25,大学生 平常 赚点 零花钱,0.4396,pos
勿以赢小而不麻,2023-02-09 17:43,不麻,0.1299,neg
秦始皇摸电门——赢麻了,2023-02-09 18:14,秦始皇 电门 赢麻,0.2451,neg
什么拉寄学校,2023-02-09 18:44,学校,0.6978,pos
什么拉🐔学校，拉🐔学生,2023-02-09 18:44,学校 学生,0.5328,pos
看来我高看这玩意的能力了,2023-02-09 18:45,玩意 能力,0.0371,neg
p的不错，别让浙大看见,2023-02-09 19:00,不错 浙大,0.932,pos
这AI训练数据样本不好说,2023-02-09 19:02,训练 数据 样本 不好,0.0498,neg
别让浙带的看见了。,2023-02-09 19:11,浙带,0.8482,pos
清北郑名不虚传,2023-02-09 19:15,清北 名不虚传,0.9892,pos
彻底赢麻了,2023-02-09 19:53,赢麻,0.3465,neg
八嘎，快点说，是谁污染的数据库,2023-02-10 10:32,八嘎 快点 污染 数据库,0.4155,pos
浙带的打过来我第一个把你供出来,2023-02-12 21:27,浙带 第一个,0.8603,pos
现在外来人员能进校吗？,2023-02-11 21:59,外来人员 进校,0.6088,pos
得有学生带着，自己来没二维码不让进。,2023-02-11 22:03,学生 二维码 不让,0.2601,neg
不是截图的问题，是扫完二维码后要登录学号，才会出现通行证，然后可以带着亲属进校。目前你的问题是没有账号，你可以找学弟学妹借一个或者让他们领着你进去，,2023-02-11 22:17,截图 二维码 后要 登录 通行证 亲属 进校 账号 学弟 学妹 领着,0.7271,pos
好的，谢谢。,2023-02-11 22:52,谢谢,0.9327,pos
楼主能进校了吗？怎么操作的呢,2023-02-17 16:01,楼主 进校 操作,0.9655,pos
这是填的什么玩意,2023-02-17 09:16,玩意,0.0266,neg
M佬我要给你生猴子😍,2023-02-17 15:09,猴子,0.4085,pos
狠狠恰大米,2023-02-17 14:48,狠狠 大米,0.6145,pos
由新生自发组建，同时也邀请经验丰富的学长，学姐答疑解惑,2023-02-17 11:17,新生 自发 组建 邀请 经验丰富 学长 学姐 答疑 解惑,0.9903,pos
感谢分享 请问群多少,2023-02-17 11:19,感谢 分享 请问,0.9626,pos
什么高级麦片,2023-02-17 14:45,高级 麦片,0.7043,pos
求二手手机,2023-02-16 14:02,二手手机,0.3532,pos
要什么牌子的,2023-02-16 15:09,牌子,0.7909,pos
稍微会修图的联系我 风景和美食图 简单的很 联系我,2023-02-17 13:15,稍微 修图 风景 美食 简单,0.423,pos
打个🦶先,2023-02-15 13:59,打个,0.3501,pos
玩原神玩的,2023-02-15 14:20,原神,0.6105,pos
垃圾不要（的话）扔池子上,2023-02-15 14:29,垃圾 池子,0.0305,neg
大专生不识字理解一下😋,2023-02-15 15:49,大专生 识字 理解,0.1079,neg
切割,2023-02-15 15:59,切割,0.441,pos
yysy，部分郑带人素质真的差,2023-02-15 16:48,郑带 素质 真的,0.3285,neg
黑哥扔的,2023-02-15 18:44,黑哥,0.5818,pos
这是我室友写的，再扔垃圾小心我特么的揍你。,2023-02-16 12:39,室友 垃圾 小心 我特,0.0244,neg
垃圾不要，扔池子上？,2023-02-16 14:29,垃圾 池子,0.0305,neg
每次去公共厕所都能有惊喜。上完随手按冲洗都做不到的哈软让他还能有什么素质,2023-02-17 11:41,每次 公共厕所 惊喜 随手 冲洗 不到 哈软 素质,0.4902,pos
招聘兼职写手，要求文字功底水平高的童鞋，偏文科为佳。有意者联系qq:2250238513,2023-02-13 16:37,招聘 兼职 写手 文字 功底 水平 童鞋 文科 为佳 有意者,0.9857,pos
评分栽种我当定了,2021-12-17 14:44,评分 栽种 当定,0.5695,pos
信工院，永远的计算机,2021-12-17 14:56,信工院 永远 计算机,0.8299,pos
网络空间安全学院（原软件学院）,2021-12-17 14:57,网络空间 学院 软件 学院,0.1218,neg
什么撤硕传统,2021-12-17 15:00,撤硕 传统,0.5575,pos
我打你🐴，你们这群打分栽种,2021-12-17 15:01,这群 打分 栽种,0.3814,pos
1.水利科学与工程学院,2021-12-17 15:28,水利科学 工程学院,0.1337,neg
突突突,2021-12-17 17:18,突突突,0.2119,neg
郑大医学院，伟大的神！救死扶伤！,2021-12-17 18:34,郑大 医学院 救死扶伤,0.1394,neg
郑大公共卫生院，预防流感，俗称小医学院,2021-12-17 18:37,郑大 公共 卫生院 预防 流感 俗称 医学院,0.4729,pos
没我数学院,2021-12-17 18:44,我数 学院,0.3667,pos
打尼玛，你们这帮打分崽种,2021-12-17 19:23,尼玛 这帮 打分 崽种,0.2528,neg
电气工程学院？,2021-12-17 20:03,电气 工程学院,0.6391,pos
我命你速速更,2021-12-17 20:18,我命 速速,0.3646,pos
没了？去打胶了是吧,2021-12-17 20:44,打胶,0.1504,neg
恳请大家驻足关注一下我身患重病的父亲，昏迷21天，花费50余万，家中已经走投无路了，希望大家帮帮我们这个家，微信扫码打开，一次转发一次证实都是爱。,2021-12-17 20:50,恳请 驻足 关注 身患 重病 父亲 昏迷 花费 余万 家中 走投无路 希望 帮帮 微信 扫码 打开 转发 证实,0.0086,neg
抬头一看，原来不是抗吧啊,2021-12-17 21:52,抬头 一看,0.561,pos
我地科院呢,2021-12-17 22:43,地科院,0.6105,pos
我商院呢,2021-12-17 23:12,商院,0.5812,pos
